url,price,low_price,high_price
https://www.amazon.com/Lincoln-Electric-Resistance-Dexterity-K2980-M/dp/B00547HD3Q/ref=sr_1_43?dib=eyJ2IjoiMSJ9.ifQcDGIZ5bcHKA8M3meo51ycSKXUhwVFa6R-2HxTLxRzdduVGsSPoZtu6F-lj4ggkyFAqVuf68YxJzW_9RJXgE9i-jgfrQ4B9tq3v0AgJ9D6aLIfKpJbnIFhf_1rD48tLxBOAhc_S_srbs-ss0E7i6FHbtE_UH9yjVHyU1N00zsViBXxokCsbrvYKAzVuBtH0bsgumVl-N6kkvWMNGRWW1Lc8fC30k15FSR17g371zcKg2hGn813o19OHIj97n4qg_cPWSAGCAiy5kk5VXfwAgzHVxR25kUFHRpxxoLq7qU.Vqw8Omsze9dzu7S5KUSzMPuxvcNCxAaNxjBQ33wYPiU&dib_tag=se&keywords=welding+gloves&qid=1730412296&sr=8-43,0,0,0
https://www.amazon.com/Tillman-Welding-Gloves-Size-Medium/dp/B000LPMU66/ref=sr_1_45?dib=eyJ2IjoiMSJ9.ifQcDGIZ5bcHKA8M3meo51ycSKXUhwVFa6R-2HxTLxRzdduVGsSPoZtu6F-lj4ggkyFAqVuf68YxJzW_9RJXgE9i-jgfrQ4B9tq3v0AgJ9D6aLIfKpJbnIFhf_1rD48tLxBOAhc_S_srbs-ss0E7i6FHbtE_UH9yjVHyU1N00zsViBXxokCsbrvYKAzVuBtH0bsgumVl-N6kkvWMNGRWW1Lc8fC30k15FSR17g371zcKg2hGn813o19OHIj97n4qg_cPWSAGCAiy5kk5VXfwAgzHVxR25kUFHRpxxoLq7qU.Vqw8Omsze9dzu7S5KUSzMPuxvcNCxAaNxjBQ33wYPiU&dib_tag=se&keywords=welding+gloves&qid=1730412296&sr=8-45,"31
.","29
.","45
."
https://www.amazon.com/Tillman-Gold-Premium-Welding-Gloves-L/dp/B012OOMDUY/ref=sr_1_84?dib=eyJ2IjoiMSJ9.rLHAKnWRzLDCO_nz2eIcbXA5iVhqMALUV6KQ0LKk9xfLVUWopo8qo0L-By9ryrDKVV2oZZn78UzUQSJzYCRyQWmLQO9vLVVRdladysI1wNCwZK8-cf0tArR51A4g95o6westZQDjgcVwIasfYwm8A3CxE0qwBUIpXkiXKCrd6K1WnWuufRelO3FpYXQZ7-LjPCiPwxiITwUMvZlsDbSTZVoJqLgGhCfEyREUFQNt2ME2ayr8yhs-w1vz9LMHfidaNuDdjwD6K5lT2tQXPmsZkizj-CcVLm-W_Na7z--wEs8.McXlUblIoeUteppq8UiciAAKjKNNenc_VDGts0r1GWk&dib_tag=se&keywords=welding+gloves&qid=1730412301&sr=8-84,"37
.","30
.","49
."
https://www.amazon.com/GRW-SpecxArmor-Multilayer-Aluminized-Resistant/dp/B09WN38LQJ/ref=sr_1_89?dib=eyJ2IjoiMSJ9.rLHAKnWRzLDCO_nz2eIcbXA5iVhqMALUV6KQ0LKk9xfLVUWopo8qo0L-By9ryrDKVV2oZZn78UzUQSJzYCRyQWmLQO9vLVVRdladysI1wNCwZK8-cf0tArR51A4g95o6westZQDjgcVwIasfYwm8A3CxE0qwBUIpXkiXKCrd6K1WnWuufRelO3FpYXQZ7-LjPCiPwxiITwUMvZlsDbSTZVoJqLgGhCfEyREUFQNt2ME2ayr8yhs-w1vz9LMHfidaNuDdjwD6K5lT2tQXPmsZkizj-CcVLm-W_Na7z--wEs8.McXlUblIoeUteppq8UiciAAKjKNNenc_VDGts0r1GWk&dib_tag=se&keywords=welding+gloves&qid=1730412301&sr=8-89,0,0,0
https://www.amazon.com/Lincoln-Electric-Aluminized-Reflective-K2982-L/dp/B00547HD90/ref=sr_1_91?dib=eyJ2IjoiMSJ9.rLHAKnWRzLDCO_nz2eIcbXA5iVhqMALUV6KQ0LKk9xfLVUWopo8qo0L-By9ryrDKVV2oZZn78UzUQSJzYCRyQWmLQO9vLVVRdladysI1wNCwZK8-cf0tArR51A4g95o6westZQDjgcVwIasfYwm8A3CxE0qwBUIpXkiXKCrd6K1WnWuufRelO3FpYXQZ7-LjPCiPwxiITwUMvZlsDbSTZVoJqLgGhCfEyREUFQNt2ME2ayr8yhs-w1vz9LMHfidaNuDdjwD6K5lT2tQXPmsZkizj-CcVLm-W_Na7z--wEs8.McXlUblIoeUteppq8UiciAAKjKNNenc_VDGts0r1GWk&dib_tag=se&keywords=welding+gloves&qid=1730412301&sr=8-91,0,0,0
https://www.amazon.com/Tillman-750-Tilman-Medium/dp/B00ZRYPI06/ref=sr_1_93?dib=eyJ2IjoiMSJ9.rLHAKnWRzLDCO_nz2eIcbXA5iVhqMALUV6KQ0LKk9xfLVUWopo8qo0L-By9ryrDKVV2oZZn78UzUQSJzYCRyQWmLQO9vLVVRdladysI1wNCwZK8-cf0tArR51A4g95o6westZQDjgcVwIasfYwm8A3CxE0qwBUIpXkiXKCrd6K1WnWuufRelO3FpYXQZ7-LjPCiPwxiITwUMvZlsDbSTZVoJqLgGhCfEyREUFQNt2ME2ayr8yhs-w1vz9LMHfidaNuDdjwD6K5lT2tQXPmsZkizj-CcVLm-W_Na7z--wEs8.McXlUblIoeUteppq8UiciAAKjKNNenc_VDGts0r1GWk&dib_tag=se&keywords=welding+gloves&qid=1730412301&sr=8-93,"48
.","32
.","84
."
https://www.amazon.com/TOOLIOM-Resistant-Stitching-Protection-Reinforced/dp/B09FSRCQB2/ref=sr_1_132?dib=eyJ2IjoiMSJ9.8n6QbrG2id0FjLBNQHSMEPhYjEX6SrPj9pdEg22IPiImeGGzdeGdI_60Wn6kV44qb9wwmewJF271wtqfxnxQFtmjxs4zx36E-krfzOuw7wepS0XG_0Ck41WPwZiI73othwBl1M14NqYOBsyBDrW9luQ6d2iOGS6KU21HrwBfUWVp-Mnpgh5JGV4otF-mGpymPLnN8YScDKmJXhX90muyEiaOsG_oxbnMMoTw5BhR-6n4jMT1rowtVoSJHNPyLoW1lAIQwo50vlhwR5aS_xpvrmegOR6cRXxt7ycQSnJhIqw.qjY7wBTpkGjKw4xObkU6-ZmumB-syJI4H6YrsFWJ_3c&dib_tag=se&keywords=welding+gloves&qid=1730412305&sr=8-132,0,0,0
https://www.amazon.com/Tillman-Welding-Gloves-TIG-24CM/dp/B006J776CS/ref=sr_1_133?dib=eyJ2IjoiMSJ9.8n6QbrG2id0FjLBNQHSMEPhYjEX6SrPj9pdEg22IPiImeGGzdeGdI_60Wn6kV44qb9wwmewJF271wtqfxnxQFtmjxs4zx36E-krfzOuw7wepS0XG_0Ck41WPwZiI73othwBl1M14NqYOBsyBDrW9luQ6d2iOGS6KU21HrwBfUWVp-Mnpgh5JGV4otF-mGpymPLnN8YScDKmJXhX90muyEiaOsG_oxbnMMoTw5BhR-6n4jMT1rowtVoSJHNPyLoW1lAIQwo50vlhwR5aS_xpvrmegOR6cRXxt7ycQSnJhIqw.qjY7wBTpkGjKw4xObkU6-ZmumB-syJI4H6YrsFWJ_3c&dib_tag=se&keywords=welding+gloves&qid=1730412305&sr=8-133,"23
.","20
.","35
."
https://www.amazon.com/Caiman-1832-6-Welding-Cowgrain-Corrugated/dp/B0085JCLLO/ref=sr_1_139?dib=eyJ2IjoiMSJ9.8n6QbrG2id0FjLBNQHSMEPhYjEX6SrPj9pdEg22IPiImeGGzdeGdI_60Wn6kV44qb9wwmewJF271wtqfxnxQFtmjxs4zx36E-krfzOuw7wepS0XG_0Ck41WPwZiI73othwBl1M14NqYOBsyBDrW9luQ6d2iOGS6KU21HrwBfUWVp-Mnpgh5JGV4otF-mGpymPLnN8YScDKmJXhX90muyEiaOsG_oxbnMMoTw5BhR-6n4jMT1rowtVoSJHNPyLoW1lAIQwo50vlhwR5aS_xpvrmegOR6cRXxt7ycQSnJhIqw.qjY7wBTpkGjKw4xObkU6-ZmumB-syJI4H6YrsFWJ_3c&dib_tag=se&keywords=welding+gloves&qid=1730412305&sr=8-139,0,0,0
https://www.amazon.com/Forney-53410-Signature-Welding-Gloves/dp/B00BY3T1QG/ref=sr_1_179?dib=eyJ2IjoiMSJ9.arVh_ck619E1WRskTk4k7AF3SRveAgvdIrwiostuKxTUI5t_inqw8GjxZKsDBQpjs_XdO7LohAxGZCeqp1w6G-KQtbBP5KUNxOjgjgwuHUKN6DAhS_k0OVdf6TyokfVk8bjMAnblqv84gSoLE4tEEk1fKFjK1gRRiAa1veWuYELCrGlnxJvIj27FUjG2xapu-SDlTqSBHCKLKf54xJ8UldD0m3E_ugBAZBBEAKv4mfjvHn1HEPV82cZGVuKzryY16Ovo36TePDiCLYzEXX8BwY0fQMfqqySyd39sUfyngBc.1V_FGMBMPpvOCWULU1eVHo_EG8QvMgM4izH4LmdJauM&dib_tag=se&keywords=welding+gloves&qid=1730412310&sr=8-179,0,0,0
